claim_id,patient_id,hospital_id,doctor_id,diagnosis_code,disease_type,procedure_code,procedure_cost_standard,claim_amount,length_of_stay,previous_claims_count,patient_age,claim_date,abha_id,Claim_ID,Patient_ID,Hospital_ID,Doctor_ID,Diagnosis_Code,Treatment_Code,Admission_Date,Discharge_Date,Claim_Amount,Approved_Amount,Location
C0110,P0062,H010,D030,DIA_ACUTE1,Acute,PROC11,45799,46497,4,7,26,2024-12-27,61803469124885,CLM10109,PAT20109,HSP357,DOC8959,D005,T200,2023-11-24,2022-07-12,21648,24589,Hyderabad
C0111,P0732,H020,D042,DIA_ACUTE2,Acute,PROC14,10534,9529,2,1,50,2024-11-11,62311752096350,CLM10110,PAT20110,HSP359,DOC9620,D002,T100,2023-12-03,2024-10-03,18904,33923,Chennai
C0112,P0168,H007,D030,DIA_MINOR2,Minor,PROC18,14488,13434,5,7,34,2024-03-14,88680469657219,CLM10111,PAT20111,HSP745,DOC5564,D004,T400,2022-08-05,2025-08-22,45208,8226,Bangalore
C0113,P0673,H003,D038,DIA_ACUTE2,Acute,PROC02,8518,9389,2,9,21,2024-05-05,46850018959526,CLM10112,PAT20112,HSP930,DOC7607,D003,T200,2024-07-25,2023-07-05,24646,37536,Chennai
C0114,P0772,H010,D046,DIA_ACUTE1,Acute,PROC16,23649,24034,16,7,47,2024-12-27,19276764544942,CLM10113,PAT20113,HSP292,DOC6058,D004,T400,2025-03-18,2022-11-21,8307,16082,Mumbai
C0115,P0156,H016,D019,DIA_MINOR1,Minor,PROC12,16256,13493,7,8,68,2024-10-23,35186847200324,CLM10114,PAT20114,HSP638,DOC7959,D005,T100,2023-02-05,2024-01-13,9680,20714,Mumbai
C0116,P0109,H007,D015,DIA_ACUTE1,Acute,PROC04,14965,15088,3,1,59,2024-05-09,94399707180745,CLM10115,PAT20115,HSP801,DOC7269,D002,T300,2022-10-17,2024-03-02,14188,27870,Chennai
C0117,P0466,H007,D049,DIA_ACUTE2,Acute,PROC14,38838,41534,7,1,48,2024-05-26,77402685746775,CLM10116,PAT20116,HSP722,DOC1744,D004,T200,2023-11-14,2023-11-07,46820,22473,Mumbai
C0118,P0243,H017,D017,DIA_ACUTE2,Acute,PROC10,24852,24391,2,10,79,2024-12-15,54818606047147,CLM10117,PAT20117,HSP205,DOC6975,D002,T200,2024-09-30,2023-08-26,4782,40181,Chennai
C0119,P0368,H017,D021,DIA_MINOR1,Minor,PROC01,47736,46994,6,2,34,2024-06-15,78957081160287,CLM10118,PAT20118,HSP990,DOC3926,D001,T500,2024-03-31,2023-12-11,34994,32504,Bangalore
C0120,P0444,H006,D026,DIA_MINOR1,Minor,PROC13,36108,34183,24,0,78,2024-08-01,59000923047132,CLM10119,PAT20119,HSP769,DOC3471,D003,T200,2025-05-06,2025-07-25,35134,20697,Mumbai
C0121,P0515,H010,D047,DIA_DIAL,Chronic,PROC17,40154,39383,2,6,71,2024-06-17,59045427260624,CLM10120,PAT20120,HSP256,DOC2960,D002,T200,2023-07-19,2024-08-05,13200,37456,Bangalore
